table_name,ordinal_position,column_name,data_type,is_nullable,column_default
task_criteria_mapping,4,created_at,timestamp with time zone,NO,
task_criteria_mapping,5,assignment_level_id,uuid,YES,
task_criteria_mapping,6,rubric_criterion_id,uuid,YES,
task_criteria_mapping,7,task_id,uuid,YES,
task_criterion_weight,1,id,uuid,NO,
task_criterion_weight,2,weight_percentage,numeric,NO,
task_criterion_weight,3,band,character varying,NO,
task_criterion_weight,4,rubric_criterion_id,uuid,YES,
task_criterion_weight,5,task_id,uuid,YES,
task_evidence_map,1,id,uuid,NO,
task_evidence_map,2,mapping_role,character varying,NO,
task_evidence_map,3,confidence_score,numeric,YES,
task_evidence_map,4,evidence_id,uuid,YES,
task_evidence_map,5,task_id,uuid,YES,
